鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
東區,租賃房屋+車位,臺南市東區崇德三街１０號十樓,0.0,,,,1150421,土地0建物1車位1,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,155.74,3,2,2,有,有,有,19000,122,坡道平面,0.0,1500,,RPSOMLLLMHLGFCD18CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新營區,租賃房屋,臺南市新營區民權路１４之１號,0.0,,,,1150421,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0650507,59.57,4,2,3,有,無,無,25000,420,,0.0,0,租金總額含稅；,RPRNMLLLMHLGFDD08CC,,無,1150601~1180531,無,,
新市區,土地,舊園段789地號,2009.01,農,,,1150421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,50000,25,,0.0,0,租金總額含稅；,RPVNMLLLMHLGFHD88CC,,,1150421~1170430,,,
永康區,土地,頂西段297地號,529.28,工,,,1150421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,50000,94,,0.0,0,租金總額含稅；,RPPNMLLLMHLGFKD68DC,,,1150501~1170430,,,
北區,租賃房屋,臺南市北區開南街１３５號,0.0,,,,1150421,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830624,13.32,59,0,59,有,無,有,4800,360,,0.0,0,開南416房,RPQNMLMLMHLGFAD77CC,分租套房,無,1150325~1150624,有,冷氣、熱水器、電視機,一般轉租
中西區,租賃房屋,臺南市中西區永福路二段６３巷２９號,0.0,,,,1150421,土地0建物0車位0,全,3,透天厝,商業用,磚造,0490101,28.44,12,0,12,有,無,有,5500,193,,0.0,0,,RPSNMLMLMHLGFAD97CC,分租套房,無,1150410~1160409,無,冷氣、熱水器、冰箱,一般轉租
中西區,租賃房屋,臺南市中西區永福路二段６３巷２９號,0.0,,,,1150421,土地0建物0車位0,全,3,透天厝,商業用,磚造,0490101,37.17,12,0,12,有,無,有,5500,148,,0.0,0,,RPPOMLMLMHLGFAD77CC,分租套房,無,1150410~1160409,無,冷氣、熱水器、冰箱,一般轉租
北區,租賃房屋,臺南市北區公園北路１３２號,0.0,,,,1150422,土地0建物0車位0,全,2,透天厝,住工用,加強磚造,0560101,11.93,26,0,26,有,無,有,4300,360,,0.0,0,公園北132-203,RPTOMLMLMHLGFAD18CC,分租套房,無,1150301~1160430,無,冷氣、熱水器,一般轉租
北區,租賃房屋,臺南市北區大武街３０４之２號,0.0,,,,1150422,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0730106,11.57,23,0,21,有,無,有,4200,363,,0.0,0,大武304-401房,RPVOMLMLMHLGFAD38CC,分租套房,無,1150301~1150819,無,冷氣、熱水器、冰箱,一般轉租
北區,租賃房屋,臺南市北區開南街１３５號,0.0,,,,1150421,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830624,13.87,59,0,59,有,無,有,4500,324,,0.0,0,開南135-302房,RPWOMLMLMHLGFAD48CC,分租套房,無,1150325~1151126,有,冷氣、熱水器、電視機,一般轉租
安南區,租賃房屋,臺南市安南區安和路四段３６巷１９８號,0.0,,,,1150421,土地0建物1車位0,見其他登記事項,1,公寓(5樓含以下無電梯),廠房,鋼骨造,0860920,159.85,0,0,0,無,無,無,105000,657,,0.0,0,,RPWNMLMLMHLGFBD48CC,,無,1150501~1200430,無,,
